id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
a23db922-31f3-4567-870d-2929a09a7e3b,Aditi Valentin HOUDE,Aditi Valentin HOUDE,,,,Union Paix et Démocratie,union_paix_et_démocratie,6,ATLANTIQUE,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/854_55e5fe2d8c198.jpg,male
51fd3d3a-80af-44bf-ac2d-e90a8dc1a57c,Adrien HOUNGBEDJI,Adrien HOUNGBEDJI,,,,Parti du Renouveau Démocratique,parti_du_renouveau_démocratique,19,OUEME,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/851_55e5e6af2ac49.jpg,male
3bce5b0b-d3f4-4ca9-b5c8-ce83f117b06a,Ahmed Tidjani AFFO OBO,Ahmed Tidjani AFFO OBO,,,,Nation Unité et Développpement,nation_unité_et_développpement,14,DONGA,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/871_55e87753d5bf8.jpg,male
1b2c6405-05fc-40e5-9542-06eec12c8645,André OKOUNLOLA-BIAOU,André OKOUNLOLA-BIAOU,,,,République et Unité Nationale,république_et_unité_nationale,10,COLLINE,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/857_55e767ee05097.jpg,male
4e85e426-915a-4d6a-9d93-11f25bc62279,Ange-Marie Bruno AMOUSSOU,Ange-Marie Bruno AMOUSSOU,,,,unknown,_unknown,11,COUFFO,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/880_55eed4f62731e.jpg,male
7df9a02c-1a28-4954-ac04-2490d9988be4,Antoine Kolawolé IDJI,Antoine Kolawolé IDJI,,,,unknown,_unknown,21,PLATEAU,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/860_55e76ea8877f7.jpg,male
edee3e34-9b38-45ae-a21a-0b6ff6cd413f,Badirou Din-Owoladé O. AGUEMON,Badirou Din-Owoladé O. AGUEMON,,,,unknown,_unknown,15,LITTORAL,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/874_55e986f7378f3.jpg,male
2226123f-eb5f-4efc-8547-09a4af5d7ac0,C. Alexis AGBELESSESSI,C. Alexis AGBELESSESSI,,,,Union Paix et Démocratie,union_paix_et_démocratie,17,MONO,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/855_55e5ffce18207.jpg,male
acbda2f9-3300-4ade-a52a-354573ca6a1a,Chabi BAH GUERA,Chabi BAH GUERA,,,,République et Unité Nationale,république_et_unité_nationale,8,BORGOU,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/885_55f1db94a23b1.jpg,male
1678e5ef-c90c-495d-b06b-820067108aca,Claudine Affiavi PRUDENCIO,Claudine Affiavi PRUDENCIO,,,,unknown,_unknown,6,ATLANTIQUE,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/856_55e60169c5b99.jpg,female
299d119e-d8c9-4133-8373-2d1271662c75,Coffi Mathurin NAGO,Coffi Mathurin NAGO,,,,Union Paix et Démocratie,union_paix_et_démocratie,18,MONO,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/861_55e7703871861.jpg,male
29055d8b-5ecb-4743-9ab8-01ff05c41fad,D. Barthélémy KASSA,D. Barthélémy KASSA,,,,République et Solidarité Nationale,république_et_solidarité_nationale,3,ATACORA,Assemblée Nationale,6,,,http://www.assemblee-nationale.bj/images/comprofiler/864_55e846dd62384.jpg,male
